date,"Revenue, excluding grants (% of GDP)",GDP (constant 2015 US$),"Employment to population ratio (15+, total %)"
2006-04-01,13.895234546735475,27553996422.947346,68.93018231024622
2006-05-01,14.092083137393587,27631186044.182682,68.89454472644951
2006-06-01,14.288931728052237,27708112560.015804,68.85352702027048
2006-07-01,14.48578031871035,27787626677.225163,68.8083106244437
2006-08-01,14.682628909368463,27872579102.589844,68.76007697170341
2006-09-01,14.879477500027113,27965820542.888996,68.71000749478374
2006-10-01,15.076326090685225,28070201704.900997,68.65928362641935
2006-11-01,15.273174681343338,28188573295.404953,68.60908679934438
2006-12-01,15.470023272001988,28323786021.180138,68.56059844629307
2007-01-01,15.6668718626601,28478690589.0047,68.515
2007-02-01,15.669145330431498,28655080568.60223,68.47319206398238
2007-03-01,15.671418798202902,28850520981.474014,68.43495192488966
2007-04-01,15.6736922659743,29061519712.064083,68.39977604015458
2007-05-01,15.675965733745699,29284584644.818054,68.36716086720959
2007-06-01,15.678239201517103,29516223664.181675,68.33660286348719
2007-07-01,15.6805126692885,29752944654.59877,68.30759848642008
2007-08-01,15.682786137059898,29991255500.515076,68.27964419344075
2007-09-01,15.685059604831302,30227664086.37633,68.25223644198167
2007-10-01,15.687333072602701,30458678296.626347,68.22487168947555
2007-11-01,15.689606540374099,30680806015.710876,68.19704639335487
2007-12-01,15.691880008145503,30890555128.075577,68.16825701105212
2008-01-01,15.6941534759169,31084433518.1644,68.138
2008-02-01,15.671181575659597,31259926146.276794,68.1058718457963
2008-03-01,15.64820967540223,31418426276.127033,68.07186914669997
2008-04-01,15.625237775144925,31562304247.281895,68.0360885291355
2008-05-01,15.602265874887621,31693930399.30944,67.99862661952716
2008-06-01,15.579293974630254,31815675071.77761,67.95958004429914
2008-07-01,15.55632207437295,31929908604.253372,67.91904542987601
2008-08-01,15.533350174115647,32039001336.304695,67.877119402682
2008-09-01,15.51037827385828,32145323607.499477,67.83389858914131
2008-10-01,15.487406373600976,32251245757.40477,67.78947961567852
2008-11-01,15.46443447334367,32359138125.58848,67.74395910871785
2008-12-01,15.441462573086303,32471371051.618557,67.69743369468347
2009-01-01,15.418490672829,32590314875.062,67.65
2009-02-01,15.52457790589637,32718201603.029232,67.60189115468445
2009-03-01,15.63066513896403,32856709912.80074,67.55388630312511
2009-04-01,15.7367523720314,33007380149.198364,67.50690109330345
2009-05-01,15.84283960509877,33171752657.045063,67.46185117320057
2009-06-01,15.94892683816643,33351367781.163937,67.41965219079756
2009-07-01,16.0550140712338,33547765866.3766,67.3812197940759
2009-08-01,16.16110130430117,33762487257.50612,67.34746963101668
2009-09-01,16.26718853736883,33997072299.37575,67.31931734960105
2009-10-01,16.3732757704362,34253061336.806812,67.29767859781042
2009-11-01,16.479363003503572,34531994714.622505,67.28346902362586
2009-12-01,16.58545023657123,34835412777.646286,67.27760427502864
2010-01-01,16.6915374696386,35164855870.6991,67.281
2010-02-01,16.91488544625744,35520935921.81416,67.29421110491053
2010-03-01,17.138233422876887,35900551191.864365,67.31634952968832
2010-04-01,17.361581399495726,36299671524.92927,67.34616647265072
2010-05-01,17.584929376114566,36714266765.091515,67.38241313211522
2010-06-01,17.808277352734013,37140306756.43396,67.42384070639939
2010-07-01,18.03162532935285,37573761343.035904,67.46920039382042
2010-08-01,18.25497330597169,38010600368.98015,67.51724339269586
2010-09-01,18.47832128259114,38446793678.34953,67.5667209013433
2010-10-01,18.701669259209975,38878311115.22331,67.6163841180799
2010-11-01,18.925017235828815,39301122523.68435,67.66498424122322
2010-12-01,19.14836521244826,39711197747.81538,67.71127246909087
2011-01-01,19.3717131890671,40104506631.6958,67.754
2011-02-01,19.369009452457554,40478050195.35221,67.79228236548826
2011-03-01,19.366305715848,40832954162.58623,67.82669242997359
2011-04-01,19.363601979238453,41171375433.14035,67.85816739109369
2011-05-01,19.360898242628902,41495470906.76005,67.88764444648659
2011-06-01,19.35819450601935,41807397483.19059,67.91606079379025
2011-07-01,19.3554907694098,42109312062.17476,67.94435363064247
2011-08-01,19.352787032800254,42403371543.45787,67.9734601546812
2011-09-01,19.3500832961907,42691732826.78516,68.00431756354448
2011-10-01,19.34737955958115,42976552811.89951,68.03786305487003
2011-11-01,19.344675822971602,43259988398.54619,68.07503382629584
2011-12-01,19.34197208636205,43544196486.47041,68.11676707545993
2012-01-01,19.3392683497525,43831333975.4151,68.164
2012-02-01,18.913184239825974,44122832025.89409,68.21708015072883
2012-03-01,18.48710012989828,44417218841.49572,68.27399649115831
2012-04-01,18.061016019971753,44712296886.574524,68.33214833797456
2012-05-01,17.63493191004522,45005868625.48741,68.3889350078642
2012-06-01,17.20884780011753,45295736522.59133,68.44175581751387
2012-07-01,16.782763690191,45579703042.240814,68.48801008360971
2012-08-01,16.356679580264473,45855570648.792816,68.52509712283839
2012-09-01,15.93059547033678,46121141806.60417,68.55041625188638
2012-10-01,15.50451136041025,46374218980.029564,68.56136678744004
2012-11-01,15.07842725048372,46612604633.425865,68.5553480461859
2012-12-01,14.65234314055603,46834101231.1498,68.52975934481036
2013-01-01,14.2262590306295,47036511237.5563,68.482
2013-02-01,14.225323435817526,47218333420.674324,68.41023441585548
2013-03-01,14.22438784100555,47380851763.22152,68.31568734613408
2013-04-01,14.223452246193574,47526046551.58641,68.20034863200812
2013-05-01,14.2225166513816,47655898072.15889,68.06620811464909
2013-06-01,14.221581056569624,47772386611.328674,67.9152556352284
2013-07-01,14.22064546175765,47877492455.48454,67.74948103491863
2013-08-01,14.219709866945676,47973195891.016266,67.5708741548912
2013-09-01,14.2187742721337,48061477204.31349,67.38142483631734
2013-10-01,14.217838677321726,48144316681.76515,67.18312292036985
2013-11-01,14.21690308250975,48223694609.76093,66.97795824822006
2013-12-01,14.215967487697775,48301591274.69045,66.76792066103914
2014-01-01,14.2150318928858,48379986962.9427,66.555
2014-02-01,14.241262893678769,48460471640.74956,66.34120961640522
2014-03-01,14.267493894471807,48543073993.71174,66.12865690208264
2014-04-01,14.293724895264775,48627432387.27157,65.91947275899305
2014-05-01,14.319955896057744,48713185186.87199,65.71578808909565
2014-06-01,14.346186896850782,48799970757.95597,65.51973379434962
2014-07-01,14.37241789764375,48887427465.965805,65.33344077671576
2014-08-01,14.398648898436718,48975193676.34445,65.15903993815321
2014-09-01,14.424879899229756,49062907754.53489,64.99866218062128
2014-10-01,14.451110900022725,49150208065.97939,64.85443840608058
2014-11-01,14.477341900815693,49236732976.120926,64.72849951649036
2014-12-01,14.503572901608731,49322120850.402466,64.62297641381006
2015-01-01,14.5298039024017,49406010054.2663,64.54
2015-02-01,14.49889886334872,49488564737.6765,64.4809878824134
2015-03-01,14.467993824295656,49572052188.68166,64.44450448997901
2015-04-01,14.437088785242675,49659265479.85079,64.42840095701973
2015-05-01,14.406183746189694,49752997683.75357,64.43052841785806
2015-06-01,14.37527870713663,49856041872.95977,64.44873800681677
2015-07-01,14.34437366808365,49971191120.0383,64.4808808582184
2015-08-01,14.31346862903067,50101238497.558876,64.52480810638563
2015-09-01,14.282563589977606,50248977078.0914,64.57837088564133
2015-10-01,14.251658550924624,50417199934.20453,64.63942033030786
2015-11-01,14.220753511871646,50608700138.46811,64.705807574708
2015-12-01,14.18984847281858,50826270763.45224,64.77538375316462
2016-01-01,14.1589434337656,51072704881.7252,64.846
2016-02-01,14.189075753002115,51349595569.4343,64.91568896968225
2016-03-01,14.219208072238711,51653735917.03644,64.98320939726037
2016-04-01,14.249340391475226,51980719018.56323,65.04750153792808
2016-05-01,14.27947271071174,52326137968.0488,65.10750564687963
2016-06-01,14.309605029948337,52685585859.527435,65.16216197930926
2016-07-01,14.339737349184851,53054655787.03049,65.21041079041075
2016-08-01,14.369869668421364,53428940844.59223,65.2511923353783
2016-09-01,14.40000198765796,53804034126.24699,65.2834468694061
2016-10-01,14.430134306894475,54175528726.026024,65.30611464768805
2016-11-01,14.46026662613099,54539017737.96366,65.31813592541828
2016-12-01,14.490398945367586,54890094256.09416,65.31845095779092
